URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-service-request-identifier-besoin,2.4.0-ballot,active,,TDDUIServiceRequestIdentifierBesoin,TDDUI ServiceRequest Besoin Identifier,"ValueSet pour la définition des codes d'identifiant de besoin","StructureDefinition/tddui-service-request-besoin","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-service-request-identifier-demande-orientation,2.4.0-ballot,active,,TDDUIServiceRequestIdentifierDemandeOrientation,TDDUI ServiceRequest DemandeOrientation Identifier,"ValueSet pour la définition des codes d'identifiant de demande d'orientation","StructureDefinition/tddui-service-request-demande-orientation","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-servicerequest-supportinginfo,2.4.0-ballot,active,,TDDUIServiceRequestSupportingInfo,TDDUI ServiceRequest SupportingInfo,"ValueSet définissant les types d'objet binaire de la demande d'orientation.","StructureDefinition/tddui-service-request-demande-orientation",
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-slot-identifier-presence-absence,2.4.0-ballot,active,,TDDUISlotIdentifierPresenceAbsence,TDDUI Slot Identifier Presence Absence,"ValueSet définissant les types d'identifiants pour la ressource SlotPresenceAbsence.","StructureDefinition/tddui-slot-presence-absence","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-task-input-action,2.4.0-ballot,active,,TDDUITaskInputAction,TDDUI Task Input Action,"ValueSet pour la définition des éléments spécifiques des input dans la ressource Task utilisée pour les actions du projet personnalisé.","StructureDefinition/tddui-task-action","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-task-input-bilan,2.4.0-ballot,active,,TDDUITaskInputBilan,TDDUI Task Input Bilan,"ValueSet pour la définition des éléments spécifiques des input dans la ressource Task utilisée pour le bilan du projet personnalisé.","StructureDefinition/tddui-task-bilan","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-task-input-moyen-ressource,2.4.0-ballot,active,,TDDUITaskInputMoyenRessource,TDDUI Task Input Moyen Ressource,"ValueSet  pour la définition des éléments spécifiques des input dans la ressource Task utilisée pour les moyens et ressources du projet personnalisé.","StructureDefinition/tddui-task-moyen-ressource","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-task-input-prestation,2.4.0-ballot,active,,TDDUITaskInputPrestation,TDDUI Task Input Prestation,"ValueSet pour la définition des éléments spécifiques des input dans la ressource Task utilisée pour les prestations du projet personnalisé.","StructureDefinition/tddui-task-prestation","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-task-input-transport,2.4.0-ballot,active,,TDDUITaskInputTransport,TDDUI Task Input Transport,"ValueSet pour la définition des éléments spécifiques des input dans la ressource Task utilisée pour les transports dans le cadre du DUI.","StructureDefinition/tddui-task-transport-professionnel,StructureDefinition/tddui-task-transport,StructureDefinition/tddui-task-transport-usager","Internal"
https://interop.esante.gouv.fr/ig/fhir/tddui/ValueSet/tddui-task-output-bilan,2.4.0-ballot,active,,TDDUITaskOutputBilan,TDDUI Task Output Bilan,"ValueSet pour la définition des éléments spécifiques des output dans la ressource Task utilisée pour le bilan du projet personnalisé.","StructureDefinition/tddui-task-bilan","Internal"
