"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"OffreOperationnelle","OffreOperationnelle","","","",0,*,"","","","null {[]} {[]}
","L'Offre opérationnelle correspond aux prestations que peut réaliser une structure et qui permettent de répondre au besoin de santé d'une personne.","L'Offre opérationnelle correspond aux prestations que peut réaliser une structure et qui permettent de répondre au besoin de santé d'une personne.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"OffreOperationnelle.familleActiviteOperationnelle","OffreOperationnelle.familleActiviteOperationnelle","","","",0,1,"","","","Coding {[]} {[]}
","Une famille d’activités opérationnelles est un regroupement cohérent d’activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, la Famille d’activité correspond au niveau 4 des prestations de la nomenclature SERAFIN.","Une famille d’activités opérationnelles est un regroupement cohérent d’activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, la Famille d’activité correspond au niveau 4 des prestations de la nomenclature SERAFIN.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/familleActiviteOperationnelle-vs","",,,,"OffreOperationnelle.familleActiviteOperationnelle",0,1,"",""
"OffreOperationnelle.identifiantOffre","OffreOperationnelle.identifiantOffre","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l'offre, unique et persistant au niveau national, généré par une instance régionale du ROR ou par le ROR national.Format : Concaténation du code INSEE région et d’un identifiant généré, par le ROR régional ou le ROR national, séparé par le caractère ""slash"" (ex: 94/666).","Identifiant de l'offre, unique et persistant au niveau national, généré par une instance régionale du ROR ou par le ROR national.Format : Concaténation du code INSEE région et d’un identifiant généré, par le ROR régional ou le ROR national, séparé par le caractère ""slash"" (ex: 94/666).","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.identifiantOffre",0,1,"",""
"OffreOperationnelle.nomOffre","OffreOperationnelle.nomOffre","","","",0,1,"","","","string {[]} {[]}
","Dénomination sous laquelle l'offre est identifiée par le porteur d'offre et résultant de l'application de règles de bonnes pratiques pour être affichable auprès des professionnels comme du grand public.","Dénomination sous laquelle l'offre est identifiée par le porteur d'offre et résultant de l'application de règles de bonnes pratiques pour être affichable auprès des professionnels comme du grand public.","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.nomOffre",0,1,"",""
"OffreOperationnelle.typeOffre","OffreOperationnelle.typeOffre","","","",0,1,"","","","Coding {[]} {[]}
","Le type d'offre permet de distinguer les offres et de les classer en fonction de leur nature particulière, liée à un agrément, un personnel spécialement formé ou un environnement particulièrement adapté à l'état de santé des patients.","Le type d'offre permet de distinguer les offres et de les classer en fonction de leur nature particulière, liée à un agrément, un personnel spécialement formé ou un environnement particulièrement adapté à l'état de santé des patients.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R244-CategorieOrganisation/FHIR/TRE-R244-CategorieOrganisation?vs","",,,,"OffreOperationnelle.typeOffre",0,1,"",""
"OffreOperationnelle.champActivite","OffreOperationnelle.champActivite","","","",0,1,"","","","Coding {[]} {[]}
","Un champ d’activité indique le domaine dans lequel s'inscrit l'offre.","Un champ d’activité indique le domaine dans lequel s'inscrit l'offre.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R227-ChampActivite/FHIR/TRE-R227-ChampActivite?vs","",,,,"OffreOperationnelle.champActivite",0,1,"",""
"OffreOperationnelle.temporaliteAccueil","OffreOperationnelle.temporaliteAccueil","","","",0,1,"","","","Coding {[]} {[]}
","La temporalité d’accueil apporte une précision sur le mode de prise en charge. Elle indique si l'établissement médico-social accepte un accueil pour une durée limitée dans le temps, de 90 jours maximum par an.","La temporalité d’accueil apporte une précision sur le mode de prise en charge. Elle indique si l'établissement médico-social accepte un accueil pour une durée limitée dans le temps, de 90 jours maximum par an.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R240-TemporaliteAccueil/FHIR/TRE-R240-TemporaliteAccueil?vs","",,,,"OffreOperationnelle.temporaliteAccueil",0,1,"",""
"OffreOperationnelle.modePriseEnCharge","OffreOperationnelle.modePriseEnCharge","","","",0,1,"","","","Coding {[]} {[]}
","Le mode de prise en charge caractérise l'hébergement ainsi que le niveau de technicité et d'intensité des soins.","Le mode de prise en charge caractérise l'hébergement ainsi que le niveau de technicité et d'intensité des soins.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R213-ModePriseEnCharge/FHIR/TRE-R213-ModePriseEnCharge?vs","",,,,"OffreOperationnelle.modePriseEnCharge",0,1,"",""
"OffreOperationnelle.modaliteAccueil","OffreOperationnelle.modaliteAccueil","","","",0,*,"","","","Coding {[]} {[]}
","Une modalité d’accueil permet de préciser le mode de prise en charge géographiquement (ex. : sur le lieu de vie), technologiquement (ex. : téléconsultation) ou organisationnellement (ex. : accueil séquentiel).","Une modalité d’accueil permet de préciser le mode de prise en charge géographiquement (ex. : sur le lieu de vie), technologiquement (ex. : téléconsultation) ou organisationnellement (ex. : accueil séquentiel).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R338-ModaliteAccueil/FHIR/TRE-R338-ModaliteAccueil?vs","",,,,"OffreOperationnelle.modaliteAccueil",0,*,"",""
"OffreOperationnelle.modeGestion","OffreOperationnelle.modeGestion","","","",0,*,"","","","Coding {[]} {[]}
","Le mode de gestion indique le mode d’intervention des aides à domicile en fonction de la nature de la relation contractuelle (prestataire, mandataire).","Le mode de gestion indique le mode d’intervention des aides à domicile en fonction de la nature de la relation contractuelle (prestataire, mandataire).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R236-ModeGestion/FHIR/TRE-R236-ModeGestion?vs","",,,,"OffreOperationnelle.modeGestion",0,*,"",""
"OffreOperationnelle.uniteSensible","OffreOperationnelle.uniteSensible","","","",0,1,"","","","boolean {[]} {[]}
","L’indicateur permet de signaler que toutes les informations de description d'une offre sont confidentielles car elles présentent un risque d'utilisation à des fins malveillantes. Valeurs possibles :0 = L'offre ne revêt pas de caractère sensible et confidentiel1 = L'offre revêt un caractère sensible et confidentiel","L’indicateur permet de signaler que toutes les informations de description d'une offre sont confidentielles car elles présentent un risque d'utilisation à des fins malveillantes. Valeurs possibles :0 = L'offre ne revêt pas de caractère sensible et confidentiel1 = L'offre revêt un caractère sensible et confidentiel","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.uniteSensible",0,1,"",""
"OffreOperationnelle.acteSpecifique","OffreOperationnelle.acteSpecifique","","","",0,*,"","","","Coding {[]} {[]}
","Un acte spécifique est une action menée par un ou plusieurs acteur(s) de santé dans le cadre d’une activité. Cet acte peut correspondre à une technique spécialisée ou traduire une expertise discriminante dans le parcours de santé. Les actes réalisés habituellement par l'organisation ne sont pas des actes spécifiques.Les actes spécifiques décrits sont réalisés avec les ressources propres de l’organisation ou via des ressources mises à disposition dans le cadre d’une convention à la condition que ces ressources interviennent sur site dans la réalisation de la prestation.","Un acte spécifique est une action menée par un ou plusieurs acteur(s) de santé dans le cadre d’une activité. Cet acte peut correspondre à une technique spécialisée ou traduire une expertise discriminante dans le parcours de santé. Les actes réalisés habituellement par l'organisation ne sont pas des actes spécifiques.Les actes spécifiques décrits sont réalisés avec les ressources propres de l’organisation ou via des ressources mises à disposition dans le cadre d’une convention à la condition que ces ressources interviennent sur site dans la réalisation de la prestation.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R210-ActeSpecifique/FHIR/TRE-R210-ActeSpecifique?vs","",,,,"OffreOperationnelle.acteSpecifique",0,*,"",""
"OffreOperationnelle.acteRealiseHorsCabinet","OffreOperationnelle.acteRealiseHorsCabinet","","","",0,*,"","","","Coding {[]} {[]}
","Ce champ est renseigné (à la place de l’attribut acteSpecifique) pour les actes spécifiques réalisés hors cabinet pour décrire l’offre de santé des médecins libéraux, au sein d’un établissement.La description des actes réalisés hors cabinet permet une orientation d'un patient vers un cabinet pour consultation préalable à la réalisation de cet acte spécifique.","Ce champ est renseigné (à la place de l’attribut acteSpecifique) pour les actes spécifiques réalisés hors cabinet pour décrire l’offre de santé des médecins libéraux, au sein d’un établissement.La description des actes réalisés hors cabinet permet une orientation d'un patient vers un cabinet pour consultation préalable à la réalisation de cet acte spécifique.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R210-ActeSpecifique/FHIR/TRE-R210-ActeSpecifique?vs","",,,,"OffreOperationnelle.acteRealiseHorsCabinet",0,*,"",""
"OffreOperationnelle.specialisationPriseEnCharge","OffreOperationnelle.specialisationPriseEnCharge","","","",0,*,"","","","Coding {[]} {[]}
","Une spécialisation de prise en charge correspond à un regroupement de troubles, de pathologies ou de déficiences qui nécessitent la mobilisation d'expertises, de compétences et/ou d'équipements spécifiques pouvant être discriminants dans le choix d’orientation du patient.","Une spécialisation de prise en charge correspond à un regroupement de troubles, de pathologies ou de déficiences qui nécessitent la mobilisation d'expertises, de compétences et/ou d'équipements spécifiques pouvant être discriminants dans le choix d’orientation du patient.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R245-SpecialisationDePriseEnCharge/FHIR/TRE-R245-SpecialisationDePriseEnCharge?vs","",,,,"OffreOperationnelle.specialisationPriseEnCharge",0,*,"",""
"OffreOperationnelle.habilitationAuxSoinsSansConsentement","OffreOperationnelle.habilitationAuxSoinsSansConsentement","","","",0,1,"","","","boolean {[]} {[]}
","Cet indicateur permet d'identifier les offres pour lesquelles un établissement est autorisé par le directeur général de l’ARS après avis du préfet, à prendre en charge des patients sans leur consentement.   Valeurs possibles :  0 = pas d'habilitation 1 = habilitation","Cet indicateur permet d'identifier les offres pour lesquelles un établissement est autorisé par le directeur général de l’ARS après avis du préfet, à prendre en charge des patients sans leur consentement.   Valeurs possibles :  0 = pas d'habilitation 1 = habilitation","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.habilitationAuxSoinsSansConsentement",0,1,"",""
"OffreOperationnelle.ouvertureAnnuelle","OffreOperationnelle.ouvertureAnnuelle","","","",0,1,"","","","Coding {[]} {[]}
","L’ouverture annuelle indique le nombre de jours maximum dans l’année au cours desquels l'offre peut être proposée par l'établissement.","L’ouverture annuelle indique le nombre de jours maximum dans l’année au cours desquels l'offre peut être proposée par l'établissement.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R238-OuvertureAnnuelle/FHIR/TRE-R238-OuvertureAnnuelle?vs","",,,,"OffreOperationnelle.ouvertureAnnuelle",0,1,"",""
"OffreOperationnelle.zoneIntervention","OffreOperationnelle.zoneIntervention","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/DivisionTerritoriale {[]} {[]}
","Correspond au périmètre géographique dans lequel habitent les personnes pouvant être prises en charge pour l'offre décrite. Cela inclus notamment les divisions territoriales dans lesquelles les professionnels se déplacent.","Correspond au périmètre géographique dans lequel habitent les personnes pouvant être prises en charge pour l'offre décrite. Cela inclus notamment les divisions territoriales dans lesquelles les professionnels se déplacent.","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.zoneIntervention",0,*,"",""
"OffreOperationnelle.secteurPsychiatrique","OffreOperationnelle.secteurPsychiatrique","","","",0,*,"","","","string {[]} {[]}
","Le secteur de psychiatrie (ou sectorisation) correspond à une aire géographique à laquelle sont rattachées des structures de relais et de soins qui prennent en charge des patients résidants sur ce secteur. Cet attribut est le libellé du secteur de psychiatrie.Des travaux sont actuellement en cours pour structurer cette donnée comme un Lieu.","Le secteur de psychiatrie (ou sectorisation) correspond à une aire géographique à laquelle sont rattachées des structures de relais et de soins qui prennent en charge des patients résidants sur ce secteur. Cet attribut est le libellé du secteur de psychiatrie.Des travaux sont actuellement en cours pour structurer cette donnée comme un Lieu.","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.secteurPsychiatrique",0,*,"",""
"OffreOperationnelle.professionRessource","OffreOperationnelle.professionRessource","","","",0,*,"","","","Coding {[]} {[]}
","La profession ressource traduit la mobilisation de métiers qui constituent un facteur différenciant dans la réalisation de l'offre.","La profession ressource traduit la mobilisation de métiers qui constituent un facteur différenciant dans la réalisation de l'offre.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/professionRessource-vs","",,,,"OffreOperationnelle.professionRessource",0,*,"",""
"OffreOperationnelle.competenceSpecifique","OffreOperationnelle.competenceSpecifique","","","",0,*,"","","","Coding {[]} {[]}
","La compétence spécifique correspond à une capacité ou connaissance reconnue qui permet ou facilite l’accueil d’une personne. La compétence spécifique n’est ni une spécialité ordinale, ni une profession.","La compétence spécifique correspond à une capacité ou connaissance reconnue qui permet ou facilite l’accueil d’une personne. La compétence spécifique n’est ni une spécialité ordinale, ni une profession.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R243-CompetenceSpecifique/FHIR/TRE-R243-CompetenceSpecifique?vs","",,,,"OffreOperationnelle.competenceSpecifique",0,*,"",""
"OffreOperationnelle.niveauExpertise","OffreOperationnelle.niveauExpertise","","","",0,*,"","","","Coding {[]} {[]}
","Le niveau d'expertise atteste du niveau de ressources humaines et matérielles engagées dans la réalisation de l'offre et défini dans un cahier des charges officiel.","Le niveau d'expertise atteste du niveau de ressources humaines et matérielles engagées dans la réalisation de l'offre et défini dans un cahier des charges officiel.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R344-NiveauExpertise/FHIR/TRE-R344-NiveauExpertise?vs","",,,,"OffreOperationnelle.niveauExpertise",0,*,"",""
"OffreOperationnelle.typeFermeture","OffreOperationnelle.typeFermeture","","","",0,1,"","","","Coding {[]} {[]}
","Le type de fermeture indique la temporalité d'arrêt de réalisation de l'offre.","Le type de fermeture indique la temporalité d'arrêt de réalisation de l'offre.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R286-TypeFermeture/FHIR/TRE-R286-TypeFermeture?vs","",,,,"OffreOperationnelle.typeFermeture",0,1,"",""
