"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Decision","Decision","","","",0,*,"","","","null {[]} {[]}
","Acte par lequel une autorité prend parti après examen d'une demande.","Acte par lequel une autorité prend parti après examen d'une demande.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Decision.dateDecision","Decision.dateDecision","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle la décision a été rendue.","Date à laquelle la décision a été rendue.","","","","","","","","","",,,,,"",,,,"Decision.dateDecision",0,1,"",""
"Decision.typeDecision","Decision.typeDecision","","","",0,1,"","","","Coding {[]} {[]}
","Type de décision.","Type de décision.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R327-TypeDecision/FHIR/TRE-R327-TypeDecision?vs","",,,,"Decision.typeDecision",0,1,"",""
"Decision.Demande","Decision.Demande","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Demande {[]} {[]}
","Lien vers la classe Demande","Lien vers la classe Demande","","","","","","","","","",,,,,"",,,,"Decision.Demande",1,1,"",""
