"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Convention","Convention","","","",0,*,"","","","null {[]} {[]}
","Accord conclu entre deux ou plusieurs parties en vue de produire certains effets juridiques : créer des obligations, modifier ou mettre un terme à des obligations préexistantes.","Accord conclu entre deux ou plusieurs parties en vue de produire certains effets juridiques : créer des obligations, modifier ou mettre un terme à des obligations préexistantes.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Convention.numeroConvention","Convention.numeroConvention","","","",0,1,"","","","Identifier {[]} {[]}
","Numéro de la convention.","Numéro de la convention.","","","","","","","","","",,,,,"",,,,"Convention.numeroConvention",0,1,"",""
"Convention.titre","Convention.titre","","","",0,1,"","","","string {[]} {[]}
","Titre de la convention, par exemple ""Convention constitutive du groupement hospitalier de territoire des Bouches du Rhône"".","Titre de la convention, par exemple ""Convention constitutive du groupement hospitalier de territoire des Bouches du Rhône"".","","","","","","","","","",,,,,"",,,,"Convention.titre",0,1,"",""
"Convention.dateDebutConvention","Convention.dateDebutConvention","","","",0,1,"","","","date {[]} {[]}
","Date de début de la convention.","Date de début de la convention.","","","","","","","","","",,,,,"",,,,"Convention.dateDebutConvention",0,1,"",""
"Convention.dateFinConvention","Convention.dateFinConvention","","","",0,1,"","","","date {[]} {[]}
","Date de fin de la convention.","Date de fin de la convention.","","","","","","","","","",,,,,"",,,,"Convention.dateFinConvention",0,1,"",""
"Convention.EntiteGeographique","Convention.EntiteGeographique","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteGeographique {[]} {[]}
","Lien vers la classe EntiteGeographique","Lien vers la classe EntiteGeographique","","","","","","","","","",,,,,"",,,,"Convention.EntiteGeographique",1,1,"",""
