"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AutorisationExercice","AutorisationExercice","","","",0,*,"","","","null {[]} {[]}
","L'accès aux professions de santé est soumis à des conditions concernant les diplômes obtenus : généralement est requis un diplôme français (DE de médecine, etc. ou européen (dans les professions pour lesquelles il existe des accords de reconnaissance mutuelle des diplômes).Pour les personnes ne remplissant pas ces conditions (diplômes hors UE, par exemple), les diplômes obtenus doivent être complétés d'une autorisation afin de permettre l'entrée dans la profession.Il peut s'agir:** d'une autorisation délivrée par le Ministère de la Santé,** d'une autorisation délivrée par l'Ordre au vu de la jurisprudence (Hochsmann, etc.).","L'accès aux professions de santé est soumis à des conditions concernant les diplômes obtenus : généralement est requis un diplôme français (DE de médecine, etc. ou européen (dans les professions pour lesquelles il existe des accords de reconnaissance mutuelle des diplômes).Pour les personnes ne remplissant pas ces conditions (diplômes hors UE, par exemple), les diplômes obtenus doivent être complétés d'une autorisation afin de permettre l'entrée dans la profession.Il peut s'agir:** d'une autorisation délivrée par le Ministère de la Santé,** d'une autorisation délivrée par l'Ordre au vu de la jurisprudence (Hochsmann, etc.).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AutorisationExercice.typeAutorisation","AutorisationExercice.typeAutorisation","","","",0,1,"","","","Coding {[]} {[]}
","Type d’autorisation (ex. Autorisation ministérielle de plein exercice, etc.).","Type d’autorisation (ex. Autorisation ministérielle de plein exercice, etc.).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R17-TypeAutorisation/FHIR/TRE-R17-TypeAutorisation?vs","",,,,"AutorisationExercice.typeAutorisation",0,1,"",""
"AutorisationExercice.disciplineAutorisee","AutorisationExercice.disciplineAutorisee","","","",0,1,"","","","Coding {[]} {[]}
","Discipline à laquelle l'autorisation d'exercice est restreinte, le cas échéant.","Discipline à laquelle l'autorisation d'exercice est restreinte, le cas échéant.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R18-DisciplineAutorisation/FHIR/TRE-R18-DisciplineAutorisation?vs","",,,,"AutorisationExercice.disciplineAutorisee",0,1,"",""
"AutorisationExercice.dateDebutAutorisation","AutorisationExercice.dateDebutAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle l’autorisation s’applique.","Date à partir de laquelle l’autorisation s’applique.","","","","","","","","","",,,,,"",,,,"AutorisationExercice.dateDebutAutorisation",0,1,"",""
"AutorisationExercice.dateFinAutorisation","AutorisationExercice.dateFinAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date de fin de validité de l'autorisation.","Date de fin de validité de l'autorisation.","","","","","","","","","",,,,,"",,,,"AutorisationExercice.dateFinAutorisation",0,1,"",""
"AutorisationExercice.profession","AutorisationExercice.profession","","","",0,1,"","","","Coding {[]} {[]}
","Profession pour laquelle l'autorisation est délivrée.","Profession pour laquelle l'autorisation est délivrée.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G15-ProfessionSante/FHIR/TRE-G15-ProfessionSante?vs","",,,,"AutorisationExercice.profession",0,1,"",""
"AutorisationExercice.Professionnel","AutorisationExercice.Professionnel","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Professionnel {[]} {[]}
","Lien vers la classe Professionnel","Lien vers la classe Professionnel","","","","","","","","","",,,,,"",,,,"AutorisationExercice.Professionnel",0,1,"",""
