"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CompetenceMetier","CompetenceMetier","","","",0,*,"","","","null {[]} {[]}
","La compétence métier désigne un type de savoir-faire opérationnel, transversal ou spécifique, acquis et exercé à titre non exclusif dans le cadre d’une activité professionnelle reconnue. Elle reflète une expertise fonctionnelle ou technique mobilisée dans l’exercice quotidien du professionnel de santé.Contrairement aux spécialités ordinales ou compétences de médecines, la compétence métier n’est pas nécessairement encadrée par un diplôme ou une qualification ordinale, mais elle peut être attestée par l’expérience, des formations spécifiques, ou une reconnaissance institutionnelle (ex. : missions ANS, ARS, établissements de santé, etc.).Dans le cadre du modèle, la classe CompétenceMetier est représentée comme une spécialisation de la classe SavoirFaire, i-e un TypeDeSavoirFaire et à ce titre, elle hérite des attributs et des associations de cette classe. Elle se distingue des autres types de savoir-faire par son ancrage dans les pratiques professionnelles et organisationnelles, plutôt que dans une logique de qualification médicale ou réglementaire.","La compétence métier désigne un type de savoir-faire opérationnel, transversal ou spécifique, acquis et exercé à titre non exclusif dans le cadre d’une activité professionnelle reconnue. Elle reflète une expertise fonctionnelle ou technique mobilisée dans l’exercice quotidien du professionnel de santé.Contrairement aux spécialités ordinales ou compétences de médecines, la compétence métier n’est pas nécessairement encadrée par un diplôme ou une qualification ordinale, mais elle peut être attestée par l’expérience, des formations spécifiques, ou une reconnaissance institutionnelle (ex. : missions ANS, ARS, établissements de santé, etc.).Dans le cadre du modèle, la classe CompétenceMetier est représentée comme une spécialisation de la classe SavoirFaire, i-e un TypeDeSavoirFaire et à ce titre, elle hérite des attributs et des associations de cette classe. Elle se distingue des autres types de savoir-faire par son ancrage dans les pratiques professionnelles et organisationnelles, plutôt que dans une logique de qualification médicale ou réglementaire.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CompetenceMetier.typeSavoirFaire","CompetenceMetier.typeSavoirFaire","","","",0,1,"","","","Coding {[]} {[]}
","Le type de savoir-faire (qualifications/autres attributions) désigne par exemple:** une spécialité ordinale (S);** une compétence (C);** etc.","Le type de savoir-faire (qualifications/autres attributions) désigne par exemple:** une spécialité ordinale (S);** une compétence (C);** etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R04-TypeSavoirFaire/FHIR/TRE-R04-TypeSavoirFaire?vs","",,,,"SavoirFaire.typeSavoirFaire",0,1,"",""
"CompetenceMetier.dateReconnaissance","CompetenceMetier.dateReconnaissance","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle, l’organisme donnant l’autorisation d’exercer une qualification a reconnu cette qualification ou date à laquelle l'attribution a été donnée au professionnel.","Date à laquelle, l’organisme donnant l’autorisation d’exercer une qualification a reconnu cette qualification ou date à laquelle l'attribution a été donnée au professionnel.","","","","","","","","","",,,,,"",,,,"SavoirFaire.dateReconnaissance",0,1,"",""
"CompetenceMetier.dateAbandon","CompetenceMetier.dateAbandon","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle le professionnel a déclaré renoncer à l’exercice d’un savoir-faire ou date à laquelle il ne souhaite plus le faire apparaître.","Date à laquelle le professionnel a déclaré renoncer à l’exercice d’un savoir-faire ou date à laquelle il ne souhaite plus le faire apparaître.","","","","","","","","","",,,,,"",,,,"SavoirFaire.dateAbandon",0,1,"",""
"CompetenceMetier.ExerciceProfessionnel","CompetenceMetier.ExerciceProfessionnel","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ExerciceProfessionnel {[]} {[]}
","Lien vers la classe ExerciceProfessionnel","Lien vers la classe ExerciceProfessionnel","","","","","","","","","",,,,,"",,,,"SavoirFaire.ExerciceProfessionnel",1,1,"",""
"CompetenceMetier.competenceMetier","CompetenceMetier.competenceMetier","","","",0,1,"","","","Coding {[]} {[]}
","Compétence métier acquise par le professionnel","Compétence métier acquise par le professionnel","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/competenceMetier-vs","",,,,"CompetenceMetier.competenceMetier",0,1,"",""
